arm,target_length,prompt_sha8,example_id,layer,n_frozen_heads_in_layer,hit16_all_heads,hit16_frozen_heads,dense_answer_mass_all_heads,dense_answer_mass_frozen_heads,block_rank_median_all_heads,block_rank_median_frozen_heads
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,19,1,0.25,0.0,0.0012155152240893585,0.0009050031658262014,26.0,23.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,20,2,0.15625,0.0,0.00016077133506087193,0.0008155519253705279,37.0,36.5
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,21,1,0.4375,1.0,0.0003036205017616922,0.0021060998551547527,21.5,11.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,22,1,0.21875,0.0,0.00029804699184543537,0.00035475261393003166,32.0,21.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,23,1,0.15625,1.0,0.0006464396738548039,0.004528561607003212,33.0,14.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,24,1,0.25,0.0,0.0003959818035976781,9.178688742395025e-06,30.0,56.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,25,0,0.46875,nan,0.0010756468645976014,nan,17.0,nan
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,26,2,0.4375,1.0,0.00011222345440287107,0.00046642240795335965,20.5,10.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,27,1,0.3125,0.0,0.00013385574036384185,0.0020944306161254644,29.5,20.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,28,1,0.59375,1.0,8.36847877886248e-05,2.2272493879427202e-05,13.0,1.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,29,1,0.5625,1.0,0.0001825734702488313,6.527384812216042e-06,11.5,1.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,30,4,0.46875,0.5,0.00015571048876671708,6.288475239557556e-05,19.5,31.0
geo,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,31,1,0.6875,1.0,0.0009458268406703496,0.004872034303843975,9.0,1.0
geo,16384,06800fde,passkey-L16384-d10p0-t01-s42,0,0,0.625,nan,0.0003973213013386261,nan,14.5,nan
geo,16384,06800fde,passkey-L16384-d10p0-t01-s42,1,0,0.78125,nan,0.00043975064460255453,nan,11.0,nan
geo,16384,06800fde,passkey-L16384-d10p0-t01-s42,2,0,0.09375,nan,0.00016543141578040377,nan,69.0,nan
geo,16384,06800fde,passkey-L16384-d10p0-t01-s42,3,0,0.65625,nan,0.00047164388524834067,nan,13.0,nan
geo,16384,06800fde,passkey-L16384-d10p0-t01-s42,4,0,0.53125,nan,0.000342230285923506,nan,14.0,nan
