arm,prompt_sha256,prompt_sha8,depth_percent,matched_pair,answer_position,layer,gold_token_id,delta_gold_raw,delta_gold_centred,delta_median_vocab,delta_mad_vocab,delta_gold_z,causal_delta_rank,l2_centred,kl_full_abl,kl_abl_full,tvd,gold_rank_full,gold_rank_ablated,gold_logprob_full,gold_logprob_ablated,gold_logit_full,gold_logit_ablated,gap_to_best_competitor_full,gap_to_best_competitor_ablated,best_competitor_id_full,best_competitor_id_ablated,entropy_full,top1_prob_full,gold_prob_full
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,10,24963,-0.0390625,-0.0390625,0.0,0.0390625,-0.674490749835968,94329,20.634662628173828,0.0028522242791950703,0.0028253113850951195,0.02854474075138569,99929,99228,-15.618791580200195,-15.580978393554688,-1.09375,-1.0546875,12.53125,12.6171875,95361,95361,8.862825393676758,0.045613933354616165,1.647574379148864e-07
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,11,24963,0.033203125,0.017578125,0.015625,0.03515625,0.337245374917984,43894,19.3151798248291,0.0017779917689040303,0.001767618115991354,0.023840676993131638,61206,61666,-13.745611190795898,-13.759788513183594,0.2578125,0.224609375,9.3671875,9.462890625,74619,74619,9.463790893554688,0.012545112520456314,1.072400209523039e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,12,24963,0.046875,0.04296875,0.00390625,0.03515625,0.8243775963783264,22848,17.688976287841797,0.001494795549660921,0.0015051164664328098,0.021694539114832878,38768,39716,-12.838695526123047,-12.879385948181152,0.73046875,0.68359375,7.89453125,8.00390625,1108,1108,9.505133628845215,0.0071248700842261314,2.6559835077932803e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,13,24963,0.015625,0.015625,0.0,0.091796875,0.11480694264173508,57282,48.791053771972656,0.010744160041213036,0.010689216665923595,0.05752786248922348,3323,3379,-9.965676307678223,-9.978204727172852,3.890625,3.875,5.671875,5.8125,110652,110652,9.448874473571777,0.013652927242219448,4.698527482105419e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,14,24963,-0.09375,-0.1015625,0.0078125,0.090576171875,-0.7563022971153259,98209,49.84430694580078,0.010803526267409325,0.010812398046255112,0.05833817273378372,12855,11775,-11.538443565368652,-11.428415298461914,3.265625,3.359375,8.171875,8.015625,15125,15125,8.886390686035156,0.03450785577297211,9.748047887114808e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,15,24963,-0.28125,-0.28125,0.0,0.140625,-1.348981499671936,116556,76.4424057006836,0.024842966347932816,0.024856626987457275,0.08809490501880646,13547,10708,-11.584504127502441,-11.285368919372559,3.03125,3.3125,8.09375,7.5625,127199,127199,9.03227710723877,0.03047787956893444,9.309230335929897e-06
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,16,24963,0.296875,0.265625,0.03125,0.21484375,0.8339158296585083,25571,116.43572998046875,0.06003222614526749,0.06083093583583832,0.13678108155727386,3577,4693,-10.057001113891602,-10.331579208374023,3.796875,3.5,5.765625,6.3125,127199,127199,9.414712905883789,0.013686085119843483,4.288445779820904e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,17,24963,0.046875,0.06640625,-0.01953125,0.19140625,0.23400700092315674,51381,102.50631713867188,0.04401183873414993,0.04437373951077461,0.11770041286945343,4497,5001,-10.331703186035156,-10.436842918395996,3.9375,3.890625,6.3125,6.609375,86649,86649,9.235532760620117,0.017967283725738525,3.25835426338017e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,18,24963,0.09375,0.078125,0.015625,0.234375,0.2248302549123764,51812,125.6871566772461,0.07281236350536346,0.07297343760728836,0.15048560500144958,1856,2087,-9.517255783081055,-9.623937606811523,4.53125,4.4375,5.28125,5.625,86649,86649,9.31428337097168,0.014465253800153732,7.357128197327256e-05
evq,6cd995c675a4a2ebe7e28c6753b5f14fcbaf8f380ac18f8c7f7218e0e55ff4b8,6cd995c6,10.0,1,0,19,24963,-0.34375,-0.41796875,0.07421875,0.23046875,-1.2232290506362915,113171,126.09048461914062,0.06886932253837585,0.06874489784240723,0.1458190679550171,974,583,-8.956503868103027,-8.54405403137207,5.21875,5.5625,3.90625,3.625,110041,110041,9.437630653381348,0.006407706532627344,0.0001288961066165939
