case,b,L,phi,exact,approx_fit,approx_theory
b1e4,10000.0,16384,0.35000000000000003,0.600695732235252,0.6007177317570732,0.6006411841273371
b1e4,10000.0,16384,0.353125,0.6021609421873507,0.6022009788904934,0.6021241877411262
b1e4,10000.0,16384,0.35625,0.6036815809600289,0.6036842260239135,0.6036071913549153
b1e4,10000.0,16384,0.359375,0.6051734539294806,0.6051674731573335,0.6050901949687042
b1e4,10000.0,16384,0.36250000000000004,0.6066495453596268,0.6066507202907537,0.6065731985824931
b1e4,10000.0,16384,0.36562500000000003,0.6080733761108205,0.6081339674241738,0.6080562021962822
b1e4,10000.0,16384,0.36875,0.6095532886172657,0.609617214557594,0.6095392058100713
b1e4,10000.0,16384,0.371875,0.6110286984763775,0.6111004616910141,0.6110222094238602
b1e4,10000.0,16384,0.375,0.6125323945505088,0.6125837088244341,0.6125052130376492
b1e4,10000.0,16384,0.37812500000000004,0.6140879166342852,0.6140669559578543,0.6139882166514382
b1e4,10000.0,16384,0.38125000000000003,0.6154677847854083,0.6155502030912745,0.6154712202652273
b1e4,10000.0,16384,0.384375,0.6170510657028432,0.6170334502246946,0.6169542238790162
b1e4,10000.0,16384,0.3875,0.6184724908320701,0.6185166973581147,0.6184372274928052
b1e4,10000.0,16384,0.390625,0.6199059662764612,0.6199999444915347,0.6199202311065942
b1e4,10000.0,16384,0.39375000000000004,0.6213807687598211,0.6214831916249549,0.6214032347203833
b1e4,10000.0,16384,0.39687500000000003,0.6228664253654624,0.6229664387583751,0.6228862383341722
b1e4,10000.0,16384,0.4,0.6244015266276884,0.6244496858917952,0.6243692419479612
b1e4,10000.0,16384,0.403125,0.6259460052782495,0.6259329330252152,0.6258522455617502
b1e4,10000.0,16384,0.40625,0.6273058322225803,0.6274161801586354,0.6273352491755392
b1e4,10000.0,16384,0.40937500000000004,0.6289038134484224,0.6288994272920555,0.6288182527893282
b1e4,10000.0,16384,0.41250000000000003,0.6302568562572863,0.6303826744254757,0.6303012564031172
b1e4,10000.0,16384,0.415625,0.63183491748626,0.6318659215588958,0.6317842600169062
b1e4,10000.0,16384,0.41875,0.6333635455716079,0.6333491686923158,0.6332672636306952
b1e4,10000.0,16384,0.421875,0.6348150243154624,0.634832415825736,0.6347502672444842
b1e4,10000.0,16384,0.42500000000000004,0.6362811562853645,0.6363156629591561,0.6362332708582732
b1e4,10000.0,16384,0.42812500000000003,0.637785007803032,0.6377989100925763,0.6377162744720623
b1e4,10000.0,16384,0.43125,0.6393006941398405,0.6392821572259964,0.6391992780858512
b1e4,10000.0,16384,0.434375,0.640726885569818,0.6407654043594164,0.6406822816996403
b1e4,10000.0,16384,0.4375,0.6420933172312677,0.6422486514928366,0.6421652853134292
b1e4,10000.0,16384,0.44062500000000004,0.6437212870092264,0.6437318986262568,0.6436482889272183
b1e4,10000.0,16384,0.44375000000000003,0.645115465731622,0.6452151457596769,0.6451312925410072
b1e4,10000.0,16384,0.446875,0.646668200296106,0.6466983928930969,0.6466142961547963
b1e4,10000.0,16384,0.45,0.6480282303281124,0.648181640026517,0.6480972997685852
b1e4,10000.0,16384,0.453125,0.6496875150468828,0.6496648871599372,0.6495803033823743
b1e4,10000.0,16384,0.45625000000000004,0.6510953083099033,0.6511481342933574,0.6510633069961632
b1e4,10000.0,16384,0.45937500000000003,0.6524585595273756,0.6526313814267775,0.6525463106099523
