L,index,theta_sigmoid,log_theta_sigmoid,k,x0
65536,15,0.9918522644376982,-0.008181109766114582,0.4256774430404469,31.5
65536,16,0.9875544467188344,-0.012523647808981967,0.4256774430404469,31.5
65536,17,0.9810199122239569,-0.019162521739025107,0.4256774430404469,31.5
65536,18,0.9711196247497931,-0.029305620802383133,0.4256774430404469,31.5
65536,19,0.95620052165714,-0.04478763723795075,0.4256774430404469,31.5
65536,20,0.9339018198082873,-0.06838396425685539,0.4256774430404469,31.5
65536,21,0.9009849187331269,-0.10426675987889611,0.4256774430404469,31.5
65536,22,0.8532969665604313,-0.15864764839677659,0.4256774430404469,31.5
65536,23,0.7861261818289083,-0.24063796275956373,0.4256774430404469,31.5
65536,24,0.6953797328748458,-0.3632972043903981,0.4256774430404469,31.5
65536,25,0.5800280264410065,-0.5446788551591045,0.4256774430404469,31.5
65536,26,0.44559683771060427,-0.8083406870939656,0.4256774430404469,31.5
65536,27,0.3065979913496019,-1.182217863937045,0.4256774430404469,31.5
65536,28,0.1837551273365097,-1.6941512374063352,0.4256774430404469,31.5
65536,29,0.094181902312178,-2.362527235685457,0.4256774430404469,31.5
65536,30,0.04146423886025661,-3.182923937445286,0.4256774430404469,31.5
65536,31,0.01629444263599052,-4.1169311718808235,0.4256774430404469,31.5
65536,32,0.006137061710789911,-5.093409200095358,0.4256774430404469,31.5
65536,33,0.0024117167648252634,-6.027416434530896,0.4256774430404469,31.5
65536,34,0.0010617751133178142,-6.847813136290725,0.4256774430404469,31.5
65536,35,0.000544202501717792,-7.5161891345698475,0.4256774430404469,31.5
65536,36,0.00032615999719963604,-8.028122508039136,0.4256774430404469,31.5
65536,37,0.00022441810968359184,-8.401999684882217,0.4256774430404469,31.5
65536,38,0.000172405462221524,-8.665661516817078,0.4256774430404469,31.5
65536,39,0.00014380631944301735,-8.847043167585783,0.4256774430404469,31.5
65536,40,0.00012720604186894252,-8.96970240921662,0.4256774430404469,31.5
65536,41,0.00011719249442909864,-9.051692723579405,0.4256774430404469,31.5
65536,42,0.00011098964912821154,-9.106073612097287,0.4256774430404469,31.5
65536,43,0.00010707763694103115,-9.141956407719327,0.4256774430404469,31.5
65536,44,0.00010458057461283899,-9.165552734738231,0.4256774430404469,31.5
65536,45,0.00010297392561268111,-9.181034751173799,0.4256774430404469,31.5
65536,46,0.00010193473012520368,-9.191177850237157,0.4256774430404469,31.5
65536,47,0.00010126023970855647,-9.1978167241672,0.4256774430404469,31.5
65536,48,0.00010082146664926176,-9.202159262210067,0.4256774430404469,31.5
65536,49,0.0001005356089799185,-9.204998575012873,0.4256774430404469,31.5
65536,50,0.00010034919332843168,-9.206854521334888,0.4256774430404469,31.5
65536,51,0.00010022754914753719,-9.208067465510835,0.4256774430404469,31.5
65536,52,0.0001001481380773102,-9.208860087365156,0.4256774430404469,31.5
65536,53,0.00010009628328431224,-9.209378002359287,0.4256774430404469,31.5
65536,54,0.0001000624164990906,-9.209716401695228,0.4256774430404469,31.5
65536,55,0.00010004029525753206,-9.209937500564449,0.4256774430404469,31.5
65536,56,0.00010002584491999355,-9.210081956168489,0.4256774430404469,31.5
65536,57,0.00010001640500623517,-9.21017633536857,0.4256774430404469,31.5
65536,58,0.00010001023803197042,-9.210237996896986,0.4256774430404469,31.5
65536,59,0.00010000620914168301,-9.210278282486945,0.4256774430404469,31.5
65536,60,0.00010000357702732682,-9.210304602342655,0.4256774430404469,31.5
65536,61,0.00010000185742512699,-9.210321797897413,0.4256774430404469,31.5
65536,62,0.00010000073397500812,-9.210333032253038,0.4256774430404469,31.5
65536,63,0.0001,-9.210340371976182,0.4256774430404469,31.5
131072,0,1.0,0.0,0.4575669676770098,31.5
131072,1,0.9999970608041394,-2.939200180029726e-06,0.4575669676770098,31.5
131072,2,0.9999924162360706,-7.583792686280472e-06,0.4575669676770098,31.5
131072,3,0.9999850768290351,-1.4923282316477043e-05,0.4575669676770098,31.5
131072,4,0.9999734790513972,-2.652130028935721e-05,0.4575669676770098,31.5
131072,5,0.9999551522920231,-4.484871366538238e-05,0.4575669676770098,31.5
131072,6,0.9999261927300639,-7.380999382668746e-05,0.4575669676770098,31.5
131072,7,0.9998804321998918,-0.0001195749489075057,0.4575669676770098,31.5
131072,8,0.9998081254822418,-0.00019189292802844506,0.4575669676770098,31.5
131072,9,0.9996938776050099,-0.0003061692600149508,0.4575669676770098,31.5
131072,10,0.9995133726954364,-0.00048674574605652213,0.4575669676770098,31.5
131072,11,0.9992282152689512,-0.0007720827102113579,0.4575669676770098,31.5
131072,12,0.9987778043422795,-0.0012229431479483476,0.4575669676770098,31.5
131072,13,0.998066557613269,-0.001935313899159102,0.4575669676770098,31.5
131072,14,0.9969438844523464,-0.003060795005181233,0.4575669676770098,31.5
131072,15,0.9951729407488761,-0.004838747128851766,0.4575669676770098,31.5
