ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
10.0,100000,0.09090909090909091,0.030651616373941787,0.026283949041485632,-0.004367667332456155
10.0,100000,0.10101010101010102,0.03317755629394484,0.028334650993269463,-0.004842905300675375
10.0,100000,0.11111111111111112,0.03570349621394788,0.030385352945053293,-0.005318143268894588
10.0,100000,0.12121212121212122,0.03822943613395093,0.032436054896837124,-0.005793381237113808
10.0,100000,0.13131313131313133,0.04075537605395398,0.03448675684862096,-0.0062686192053330245
10.0,100000,0.14141414141414144,0.04328131597395703,0.036537458800404786,-0.006743857173552241
10.0,100000,0.15151515151515152,0.04580725589396007,0.03858816075218861,-0.0072190951417714574
10.0,100000,0.16161616161616163,0.04833319581396312,0.04063886270397245,-0.007694333109990674
10.0,100000,0.17171717171717174,0.05085913573396618,0.04268956465575628,-0.008169571078209897
10.0,100000,0.18181818181818182,0.053385075653969216,0.04474026660754011,-0.008644809046429107
10.0,100000,0.19191919191919193,0.05591101557397227,0.046790968559323944,-0.009120047014648323
10.0,100000,0.20202020202020204,0.05843695549397532,0.04884167051110778,-0.00959528498286754
10.0,100000,0.21212121212121213,0.060962895413978355,0.050892372462891605,-0.01007052295108675
10.0,100000,0.22222222222222224,0.0634888353339814,0.05294307441467544,-0.010545760919305966
10.0,100000,0.23232323232323235,0.06601477525398446,0.05499377636645927,-0.01102099888752519
10.0,100000,0.24242424242424243,0.06854071517398751,0.057044478318243094,-0.011496236855744413
10.0,100000,0.25252525252525254,0.07106665509399056,0.05909518027002693,-0.01197147482396363
10.0,100000,0.26262626262626265,0.07359259501399361,0.06114588222181076,-0.012446712792182846
10.0,100000,0.27272727272727276,0.07611853493399665,0.0631965841735946,-0.012921950760402048
10.0,100000,0.2828282828282829,0.0786444748539997,0.06524728612537842,-0.013397188728621279
