distance,score_standard,score_sigmoid,score_diff
93,0.4349175691604614,0.5041956901550293,0.06927812099456787
94,0.43194580078125,0.6712634563446045,0.2393176555633545
95,0.4118483066558838,0.6440905332565308,0.23224222660064697
96,0.38440555334091187,0.44207409024238586,0.057668536901474
97,0.3716299533843994,0.2547062635421753,-0.11692368984222412
98,0.389394611120224,0.2649625539779663,-0.12443205714225769
99,0.4326639473438263,0.4756169021129608,0.04295295476913452
100,0.4772414565086365,0.7008612155914307,0.2236197590827942
101,0.4971640706062317,0.7338528037071228,0.2366887331008911
102,0.4837241470813751,0.5377590656280518,0.054034918546676636
103,0.4508081078529358,0.2841068506240845,-0.16670125722885132
104,0.42274031043052673,0.2007434368133545,-0.22199687361717224
105,0.4151355028152466,0.36618825793266296,-0.04894724488258362
106,0.424319863319397,0.6375359296798706,0.21321606636047363
107,0.43291419744491577,0.7783894538879395,0.3454752564430237
108,0.4255813956260681,0.6713262796401978,0.24574488401412964
109,0.4013925790786743,0.42224693298339844,0.02085435390472412
110,0.37349870800971985,0.2623001039028168,-0.11119860410690308
111,0.35812777280807495,0.33726680278778076,-0.02086097002029419
112,0.363116979598999,0.5762676000595093,0.21315062046051025
113,0.3847532272338867,0.7586332559585571,0.3738800287246704
114,0.41321104764938354,0.716772198677063,0.30356115102767944
115,0.43979236483573914,0.48929858207702637,0.04950621724128723
116,0.45956677198410034,0.2849879264831543,-0.17457884550094604
117,0.4693124294281006,0.2913844585418701,-0.17792797088623047
118,0.4657733738422394,0.5034595727920532,0.03768619894981384
119,0.44798678159713745,0.7286214828491211,0.28063470125198364
120,0.4215109944343567,0.7627891302108765,0.3412781357765198
121,0.3985520005226135,0.5762916207313538,0.17773962020874023
122,0.390961229801178,0.3402490019798279,-0.0507122278213501
123,0.40051913261413574,0.2703087627887726,-0.13021036982536316
124,0.41536128520965576,0.43089890480041504,0.015537619590759277
125,0.41755998134613037,0.6778924465179443,0.26033246517181396
126,0.39727017283439636,0.7902117967605591,0.3929416239261627
127,0.36204788088798523,0.6689006090164185,0.3068527281284332
128,0.3327944874763489,0.4227007031440735,0.08990621566772461
129,0.3286473751068115,0.2649388909339905,-0.06370848417282104
130,0.352757066488266,0.3191913366317749,-0.03356572985649109
131,0.39057716727256775,0.512243926525116,0.12166675925254822
132,0.42185401916503906,0.649613082408905,0.22775906324386597
133,0.4359091818332672,0.5998728275299072,0.16396364569664001
134,0.4372882843017578,0.4154928922653198,-0.02179539203643799
135,0.4377235174179077,0.27945810556411743,-0.15826541185379028
136,0.4426892399787903,0.3299823999404907,-0.11270684003829956
137,0.44550901651382446,0.5284292697906494,0.08292025327682495
138,0.4346849322319031,0.6941078305244446,0.2594228982925415
139,0.40748023986816406,0.673293948173523,0.2658137083053589
140,0.3763815760612488,0.4843484163284302,0.1079668402671814
141,0.3610628843307495,0.3027052879333496,-0.0583575963973999
142,0.3717586100101471,0.2985530197620392,-0.07320559024810791
143,0.3985729217529297,0.4777142107486725,0.0791412889957428
144,0.41710251569747925,0.674404501914978,0.2573019862174988
145,0.4069904685020447,0.7042001485824585,0.2972096800804138
146,0.36856260895729065,0.5363461375236511,0.16778352856636047
147,0.32367441058158875,0.3249830901622772,0.0013086795806884766
148,0.2997566759586334,0.26830804347991943,-0.03144863247871399
149,0.30985987186431885,0.42416825890541077,0.11430838704109192
150,0.3445162773132324,0.6527221202850342,0.30820584297180176
151,0.3810977041721344,0.7413889169692993,0.3602912127971649
152,0.4019438624382019,0.5995775461196899,0.19763368368148804
153,0.40610411763191223,0.34486204385757446,-0.06124207377433777
154,0.40604543685913086,0.19997282326221466,-0.2060726135969162
155,0.41385704278945923,0.2926543354988098,-0.12120270729064941
156,0.4297492504119873,0.5400453209877014,0.11029607057571411
157,0.4423854351043701,0.7231379151344299,0.2807524800300598
158,0.4395536780357361,0.6840377449989319,0.2444840669631958
159,0.4190111756324768,0.4668450951576233,0.047833919525146484
160,0.3902900218963623,0.27460554242134094,-0.11568447947502136
161,0.3669968843460083,0.28262773156166077,-0.08436915278434753
162,0.35722044110298157,0.47922641038894653,0.12200596928596497
163,0.3599972128868103,0.6790032386779785,0.3190060257911682
164,0.36909860372543335,0.6952620148658752,0.3261634111404419
165,0.37872055172920227,0.5123790502548218,0.1336584985256195
166,0.3853243291378021,0.299597829580307,-0.08572649955749512
167,0.3854284882545471,0.25392016768455505,-0.13150832056999207
168,0.37423861026763916,0.41719692945480347,0.04295831918716431
169,0.3490317463874817,0.6364951729774475,0.2874634265899658
170,0.31505513191223145,0.7051471471786499,0.39009201526641846
171,0.28703752160072327,0.5552231073379517,0.2681855857372284
172,0.28186437487602234,0.3238375186920166,0.04197314381599426
173,0.3062251806259155,0.23045232892036438,-0.07577285170555115
174,0.3493601679801941,0.3756999373435974,0.02633976936340332
175,0.3885992467403412,0.6453988552093506,0.2567996084690094
176,0.40509703755378723,0.8088881969451904,0.4037911593914032
177,0.39772841334342957,0.7242628335952759,0.3265344202518463
178,0.3833983242511749,0.46538078784942627,0.08198246359825134
179,0.3827480971813202,0.25584569573402405,-0.12690240144729614
180,0.40264779329299927,0.2696775496006012,-0.13297024369239807
181,0.43006014823913574,0.4784718453884125,0.04841169714927673
182,0.44260966777801514,0.6817934513092041,0.23918378353118896
183,0.42711299657821655,0.6910533905029297,0.26394039392471313
